dataset,series,method,replicate,target_false_alarm_rate,threshold,precision,recall,f1,false_alarm_rate,n_alarms,calibrated_threshold
mgab,3,delay_line_residual,1,0.6666666666666666,0.034342061852697725,0.07022804054054053,0.6911886949293433,0.12750134171586291,0.6648849429244428,23680,0.06148810839778207
mgab,3,delay_line_residual,1,0.7142857142857143,0.03308185475867731,0.06984352213156754,0.7364921030756443,0.12758757245202865,0.7126592981820378,25371,0.06148810839778207
mgab,3,delay_line_residual,1,0.7619047619047619,0.03173327005620763,0.06950705786711994,0.7817955112219451,0.1276639066105606,0.7604336534396328,27062,0.06148810839778207
mgab,3,delay_line_residual,1,0.8095238095238095,0.030316026782230665,0.0692425401683244,0.8275145469659185,0.12779204107830552,0.8082080086972278,28754,0.06148810839778207
mgab,3,delay_line_residual,1,0.8571428571428571,0.028600895582371777,0.06874692067662999,0.8699085619285121,0.12742382271468145,0.85619375490729,30445,0.06148810839778207
mgab,3,delay_line_residual,1,0.9047619047619048,0.026522451175850392,0.0684258020350375,0.9139650872817955,0.12731957270648178,0.9040889049948663,32137,0.06148810839778207
mgab,3,delay_line_residual,1,0.9523809523809523,0.023502927747131253,0.067636277639825,0.9509559434746467,0.12629022465088038,0.9524672344023676,33828,0.06148810839778207
mgab,3,delay_line_residual,1,1.0,0.0070272123280403775,0.06773648648648649,1.0,0.12687865844012025,1.0,35520,0.06148810839778207
mgab,3,persistence_residual,1,0.047619047619047616,0.24855577197212142,0.07451212300413956,0.05236907730673317,0.06150842079570416,0.04726097723017455,1691,0.26399019990532224
mgab,3,persistence_residual,1,0.09523809523809523,0.2278009625042614,0.06978119455943228,0.09808811305070657,0.08154803040774015,0.0950051337802742,3382,0.26399019990532224
mgab,3,persistence_residual,1,0.14285714285714285,0.20619792951424643,0.0717382735514387,0.1512884455527847,0.09732620320855616,0.14223591230295343,5074,0.26399019990532224
mgab,3,persistence_residual,1,0.19047619047619047,0.18924444872442336,0.07021433850702144,0.1974231088944306,0.10358739504961294,0.18994987014555778,6765,0.26399019990532224
mgab,3,persistence_residual,1,0.23809523809523808,0.1742156869858036,0.06870048480548657,0.24147963424771404,0.10696860903986005,0.23784502023313403,8457,0.26399019990532224
mgab,3,persistence_residual,1,0.2857142857142857,0.1608088659323812,0.06799369333858889,0.286783042394015,0.10992512346662418,0.285619375490729,10148,0.26399019990532224
