experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2C_esp_map,0,0,1,3,0.7,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.44160999558294345,0.0,1,-0.37822449606994674,-0.3572552122429222,-0.3572552122429222,2.829663314661661,2.829663314661661,3.3320024524789655,0.340453292010352
2C_esp_map,0,0,1,3,0.7,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.44105987833710136,5.005767324870007e-18,1,-0.38889204775852504,-0.35857398858552053,-0.35857398858552053,0.6566182608036155,0.6566182608036155,1.0373088953467053,0.3324646658729762
2C_esp_map,0,0,1,3,0.7,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.4396522210414664,9.865352994025548e-18,1,-0.39359450067931484,-0.3624585666059782,-0.3624585666059782,0.6561235831553751,0.6561235831553751,1.0365830842588895,0.33618145785294473
2C_esp_map,0,0,1,3,0.7,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.43432931706811895,1.8743703352393845e-17,1,-0.38477657620468236,-0.37704882302931203,-0.37704882302931203,0.6544152552812676,0.6544152552812676,1.0340681184810212,0.33767675003036857
2C_esp_map,0,0,1,3,0.7,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.40198972965518315,3.572056383421874e-17,1,-0.48677857838323585,-0.45406411829033505,-0.45406411829033505,0.6480864877097041,0.6480864877097041,1.0246354910709048,0.33494362491182983
2C_esp_map,0,0,1,3,0.7,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.3314746433318191,4.1829503397432334e-17,1,-0.5934962818100543,-0.608424905462063,-0.608424905462063,0.6399155896043011,0.6399155896043011,1.0121813421994665,0.3333771249745041
2C_esp_map,0,0,1,3,0.7,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.2450321155300026,0.0,1,-0.7493230651334994,-0.861926710179416,-0.861926710179416,0.6278053814591238,0.6278053814591238,1.0,0.33637437503784895
2C_esp_map,0,0,1,3,0.8,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.4904671716712286,0.0,1,-0.23235771918668596,-0.22372381961839571,-0.22372381961839571,4.508020598403941,4.508020598403941,4.99737222230856,0.3342914169188589
2C_esp_map,0,0,1,3,0.8,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.489975539618017,7.515733387167936e-18,1,-0.2309443242399296,-0.22542649735895615,-0.22542649735895615,0.6820223085019504,0.6820223085019504,1.073167327595194,0.33907195809297264
2C_esp_map,0,0,1,3,0.8,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.4886224487552141,1.4892518320210977e-17,1,-0.24195308092740872,-0.23037090671404517,-0.23037090671404517,0.680400643464382,0.680400643464382,1.0709583171320909,0.33692091703414917
2C_esp_map,0,0,1,3,0.8,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.4833769751542021,2.7312392746129244e-17,1,-0.25336980899787287,-0.24819323999636467,-0.24819323999636467,0.6751823614861512,0.6751823614861512,1.063778032593757,0.33532224991358817
2C_esp_map,0,0,1,3,0.8,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.45049102405412383,4.689852911520632e-17,1,-0.3378714608784865,-0.33331556521104694,-0.33331556521104694,0.6590797410389685,0.6590797410389685,1.040904279909913,0.3336795410141349
2C_esp_map,0,0,1,3,0.8,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.3748466645920488,5.3564462943940096e-17,1,-0.4859000695806999,-0.4917068243052307,-0.4917068243052307,0.6449912944522433,0.6449912944522433,1.019954898204659,0.34074983396567404
2C_esp_map,0,0,1,3,0.8,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.278114132644568,4.020400988036023e-17,1,-0.6369251129349668,-0.7411489750633802,-0.7411489750633802,0.6306331631996887,0.6306331631996887,1.0,0.3358422920573503
2C_esp_map,0,0,1,3,0.9,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.5356028353438309,1.5573131275325244e-134,1,-0.10607438986685173,-0.10594078396201996,-0.10594078396201996,9.501766047817242,9.501766047817242,9.988135725110055,0.3344680001027882
2C_esp_map,0,0,1,3,0.9,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.5351843558364948,1.2805627456050143e-17,1,-0.11118523058750278,-0.1085930181334366,-0.1085930181334366,0.7303295969815703,0.7303295969815703,1.1493677647051341,0.3351449999026954
2C_esp_map,0,0,1,3,0.9,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.5339161589962729,2.487185248175399e-17,1,-0.11723200679806187,-0.1159383033482124,-0.1159383033482124,0.7247638928489533,0.7247638928489533,1.139597177797108,0.33552991691976786
2C_esp_map,0,0,1,3,0.9,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.5288576876202652,4.277878563193811e-17,1,-0.13946620249412164,-0.13963620478984995,-0.13963620478984995,0.7096815270180628,0.7096815270180628,1.1126910372654177,0.3367469999939203
2C_esp_map,0,0,1,3,0.9,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.4961416884482763,6.467075202747585e-17,1,-0.2434938178937026,-0.23409969444830392,-0.23409969444830392,0.6746475360312202,0.6746475360312202,1.0630358445431194,0.33769487496465445
2C_esp_map,0,0,1,3,0.9,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.4168521695142562,6.686340312148799e-17,1,-0.40283413839664883,-0.3951039381208554,-0.3951039381208554,0.6509853864454507,0.6509853864454507,1.0289788803400026,0.34184937505051494
2C_esp_map,0,0,1,3,0.9,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.31045515977897475,5.057306561942087e-17,1,-0.5461795489936043,-0.6368467992040888,-0.6368467992040888,0.6334105198250529,0.6334105198250529,1.0020365323216476,0.3313155830837786
2C_esp_map,0,0,1,3,1.0,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.5772285330493213,0.015653828972805484,0,-0.0002994972253463746,-0.000681106945279823,-0.000681106945279823,nan,200.0,179.22618079674757,0.33305108407512307
