experiment,threshold_mode,n_surrogates,surrogate_quantile,level,graph,replicate,mc_total,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,wall_time_s
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,3,0,12.15593909086512,30.748280726270913,31.70638483721087,12.155894625550737,18.592386100720177,0.5945645829197019
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,3,0,12.151539106636893,30.719927608045417,31.70638483721087,12.152133028562922,18.567794579482495,0.592681041220203
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,3,0,12.184902620087477,30.84115194046023,31.70638483721087,12.159458702287857,18.68169323817237,2.1777101668994874
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,3,0,12.15593909086512,30.7445191292831,31.70638483721087,12.152133028562922,18.592386100720177,2.1716673329938203
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,3,0,12.151539106636893,30.719927608045417,31.70638483721087,12.152133028562922,18.567794579482495,2.182479292154312
3Th_ladder_threshold,none,25,0.95,control_symmetric,3,1,14.666480879341936,33.491453189302206,33.491453189302206,13.820262784649369,19.671190404652837,0.1206622498575598
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,3,1,13.88890352588836,32.72667841214586,33.491453189302206,13.780413094598247,18.946265317547613,0.21634620800614357
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,3,1,13.859977798754764,32.63072029504198,33.491453189302206,13.780413094598247,18.850307200443737,0.21724579110741615
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,3,1,13.85670081682574,32.60716179881913,33.491453189302206,13.772778179285659,18.83438361953347,0.21759354206733406
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,3,1,13.83322045292659,32.768371304146996,33.491453189302206,13.780413094598247,18.98795820954875,0.5970163329038769
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,3,1,13.789563889180863,32.657156190947596,33.491453189302206,13.772778179285659,18.884378011661937,0.5951877920888364
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,3,1,13.7817662302213,32.52416247831805,33.491453189302206,13.768825120063577,18.755337358254472,0.5968015419784933
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,3,1,13.826362837472766,32.754580972348535,33.491453189302206,13.780413094598247,18.97416787775029,2.186254333006218
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,3,1,13.793447632492812,32.62697476251596,33.491453189302206,13.772778179285659,18.854196583230298,2.187533082906157
